Country Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp_usd,alliance,power_index_rank_gap,force_readiness_index,air_superiority_index,logistics_index,superiority_index,coalition_score,coalition_budget,combined_personnel,power_advantage,budget_advantage
Afghanistan,40121552,15647405,8826741,842553,75000,0,90000,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,1097488.7933333332,0,0,0,0,0,0,0,0,145000000,1929750000,82238000000,8852092000,68,9133000,0,0,0,34903,0,58000,0,80200000.0,80200000.0,49554000000.0,767000.0,503000,66000000.0,652230,0,5987,1200,Asia,Southern Asia,14583135237.0,Non-NATO,84,2.792047924100287,0.011510128913443829,0.2015849971509084,1.1807477074594206,0.7140618183206534,145000000.0,165000,1.9820221964721705,3.323756486654064
Albania,3107100,1522479,1292554,62142,7500,0,500,20,0,0,1,0,0,0,19,0,0,1492,10,0,270,33,32509.676666666666,0,0,0,0,0,0,33,0,720037190,5363000000,51360000000,6516000000,3,1370000,3,69,424,3581,14000,21000,150000000,50623000.0,50623000.0,5692000000.0,473000.0,255000,522000000.0,28748,362,691,41,Europe,Southern Europe,18882095518.0,NATO,139,0.23817880821671847,0.046040515653775316,0.22287384801081278,0.17594583238606382,3.328525119342457,72823636172.25,8000,1.240900758023996,13.000222758976276
Algeria,47022473,22570787,19185169,752360,130000,150000,150000,620,111,42,63,90,10,4,300,74,1485,24920,224,483,188,111,83480.0,0,0,6,0,8,8,75,3,25000000000,4764000000,722912000000,83007000000,95,13294000,17,119,4020,112696,1443000,446000,12200000000,100726000000.0,47963000000.0,4504000000000.0,0.0,3000,233000000.0,2381740,998,6734,0,Africa,Northern Africa,192000000000.0,Non-NATO,38,5.280041127684345,5.3501099961421446,1.3448985191059324,4.120519005648161,3.5782079806526794,25000000000.0,430000,4.407225616515943,44.60540066735979
Angola,37202061,7440412,3720206,372021,107000,0,10000,278,67,6,32,56,2,0,115,14,319,2258,25,575,116,32,32070.423333333332,0,0,0,0,0,0,32,0,31200000000,45299000000,278239000000,14243000000,107,15961000,21,64,2761,76000,1175000,121000,7783000000,5514000000.0,1397000000.0,343002000000.0,0.0,0,0.0,1246700,1600,5369,1300,Africa,Sub-Saharan Africa,107000000000.0,Non-NATO,60,2.893196347132673,2.4853672940513296,1.160063022646893,2.250907633862536,2.7309033171949215,31200000000.0,117000,1.5157275869574602,100.0
Argentina,46994384,20677529,17575900,704916,108000,12370,20000,241,23,11,25,71,13,2,96,0,362,22432,20,172,27,42,122128.0,0,0,2,3,0,6,13,0,993919790,74362000000,1213000000000,29560000000,764,22286000,37,201,17866,240000,807000,749000,2483000000,43280000000.0,46228000000.0,396464000000.0,869000.0,2534000,799999000.0,2780400,4989,11968,11000,Americas,Latin America and the Caribbean,633000000000.0,Non-NATO,45,3.532707424792013,1.4296539027648214,4.306838451542867,3.134030676209112,1.9236116574579099,993919790.0,140370,1.4395628564671554,0.44974705314457736
Armenia,2976765,1666988,1366335,44651,65000,210000,5000,69,4,14,3,12,0,0,36,20,109,1412,104,193,100,0,1097488.7933333332,0,0,0,0,0,0,0,0,1480000000,6002000000,60909000000,3685000000,11,1510000,0,0,686,7700,0,15000,0,0.0,2861000000.0,0.0,300.0,19000,317000000.0,29743,0,1570,0,Asia,Western Asia,19502783988.0,Non-NATO,82,2.5391226249129386,0.6373120539873455,0.07725943968136575,1.230020498065789,0.8027233931819227,1480000000.0,280000,45.333137175414436,25.959210695371766
Australia,26768598,11242811,9208398,294455,58910,33270,0,348,24,71,37,107,31,6,72,22,46,17118,0,48,8,45,199898.0,0,2,6,3,7,0,13,3,57350000000,3770254730000,1635000000000,60404000000,2257,14912000,66,604,32606,873573,386000,1151000,2446000000,153783000000.0,50188000000.0,3228000000000.0,445077000.0,95667000,149472000000.0,7741220,25760,0,2000,Oceania,Australia and New Zealand,1680000000000.0,Non-NATO,32,1.9909287974494199,3.320966700020393,10.910644510466778,5.065854882125919,5.577482226458771,57350000000.0,92180,1.6596380068995913,11.62843080188938
Austria,8967982,4035592,3632033,98648,25000,125600,0,90,15,0,11,23,0,0,41,0,56,5160,30,0,0,0,1097488.7933333332,0,0,0,0,0,0,0,0,6103900800,693000000000,581131000000,35406000000,62,4768000,0,1,6123,126233,18000,244000,35200000,618209000.0,8136000000.0,5040000000.0,1288000.0,5403000,0.0,83871,0,2524,358,Europe,Western Europe,471000000000.0,Non-NATO,93,1.2916303123402206,0.5840667425525417,0.8885914509217998,0.9584495829783908,0.8444721020983756,6103900800.0,150600,8.093428563912255,4.359169707331149
Azerbaijan,10650239,5218617,3908638,159754,128000,306000,15000,159,12,20,4,36,0,0,87,16,1354,14448,135,651,696,32,57597.693333333336,0,0,4,0,0,0,17,4,5100000000,12378000000,225198000000,12699000000,32,5020000,0,312,2944,24981,618000,109000,7000000000,34175000000.0,11759000000.0,1699000000000.0,0.0,6000,0.0,86600,713,2468,0,Asia,Western Asia,78721058824.0,Non-NATO,57,4.640778572857815,1.2074864405916794,0.8624785501460692,2.4773009263644505,1.7113421369032635,5100000000.0,449000,20.31838948191802,22.14877876105655
Bahrain,1566888,846120,720768,17236,18400,110000,1500,137,28,0,3,40,0,0,66,34,150,5196,38,26,18,64,48002.36,0,0,0,0,2,2,50,0,997015509,54450000000,93937000000,4949000000,3,913300,4,184,0,4122,190000,72000,186500000,18005000000.0,17924000000.0,81382000000.0,0.0,0,0.0,760,161,0,0,Asia,Western Asia,44390820479.0,Non-NATO,101,0.9480024121457733,1.0188951201680594,0.41951906768117453,0.8107252212130794,0.5297654260284028,997015509.0,129900,39.95521669455642,7.62026037198423
