Rank,Country,Power_Index,Detail_URL
1,United States,PwrIndx: 0.0741,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=united-states-of-america
2,Russia,PwrIndx: 0.0791,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=russia
3,China,PwrIndx: 0.0919,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=china
4,India,PwrIndx: 0.1346,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=india
5,South Korea,PwrIndx: 0.1642,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=south-korea
6,France,PwrIndx: 0.1798,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=france
7,Japan,PwrIndx: 0.1876,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=japan
8,United Kingdom,PwrIndx: 0.1881,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=united-kingdom
9,Turkiye,PwrIndx: 0.1975,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=turkey
10,Italy,PwrIndx: 0.2211,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=italy
11,Brazil,PwrIndx: 0.2374,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=brazil
12,Germany,PwrIndx: 0.2463,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=germany
13,Indonesia,PwrIndx: 0.2582,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=indonesia
14,Pakistan,PwrIndx: 0.2626,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=pakistan
15,Israel,PwrIndx: 0.2707,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=israel
16,Iran,PwrIndx: 0.3199,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=iran
17,Australia,PwrIndx: 0.3208,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=australia
18,Spain,PwrIndx: 0.3247,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=spain
19,Egypt,PwrIndx: 0.3651,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=egypt
20,Ukraine,PwrIndx: 0.3691,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=ukraine
21,Poland,PwrIndx: 0.3891,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=poland
22,Taiwan,PwrIndx: 0.3927,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=taiwan
23,Vietnam,PwrIndx: 0.4066,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=vietnam
24,Thailand,PwrIndx: 0.4458,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=thailand
25,Saudi Arabia,PwrIndx: 0.4473,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=saudi-arabia
26,Sweden,PwrIndx: 0.4834,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=sweden
27,Algeria,PwrIndx: 0.4849,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=algeria
28,Canada,PwrIndx: 0.5269,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=canada
29,Singapore,PwrIndx: 0.5272,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=singapore
30,Greece,PwrIndx: 0.5484,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=greece
31,North Korea,PwrIndx: 0.5933,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=north-korea
32,Argentina,PwrIndx: 0.5983,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=argentina
33,Nigeria,PwrIndx: 0.6097,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=nigeria
34,Netherlands,PwrIndx: 0.6142,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=netherlands
35,Myanmar,PwrIndx: 0.6265,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=myanmar
36,Mexico,PwrIndx: 0.6401,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=mexico
37,Bangladesh,PwrIndx: 0.6517,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=bangladesh
38,Portugal,PwrIndx: 0.6659,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=portugal
39,Norway,PwrIndx: 0.6679,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=norway
40,South Africa,PwrIndx: 0.6843,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=south-africa
41,Philippines,PwrIndx: 0.6993,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=philippines
42,Malaysia,PwrIndx: 0.7379,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=malaysia
43,Colombia,PwrIndx: 0.7551,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=colombia
44,Iraq,PwrIndx: 0.8115,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=iraq
45,Denmark,PwrIndx: 0.8198,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=denmark
46,Switzerland,PwrIndx: 0.8396,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=switzerland
47,Ethiopia,PwrIndx: 0.8525,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=ethiopia
48,Finland,PwrIndx: 0.8673,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=finland
49,Chile,PwrIndx: 0.8704,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=chile
50,Peru,PwrIndx: 0.8827,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=peru
51,Venezuela,PwrIndx: 0.9106,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=venezuela
52,Romania,PwrIndx: 0.9558,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=romania
53,Uzbekistan,PwrIndx: 0.9908,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=uzbekistan
54,United Arab Emirates,PwrIndx: 1.0188,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=united-arab-emirates
55,Czechia,PwrIndx: 1.0313,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=czech-republic
56,Morocco,PwrIndx: 1.0368,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=morocco
57,Hungary,PwrIndx: 1.0429,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=hungary
58,Kazakhstan,PwrIndx: 1.0433,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=kazakhstan
59,Angola,PwrIndx: 1.1045,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=angola
60,Azerbaijan,PwrIndx: 1.1991,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=azerbaijan
61,Belgium,PwrIndx: 1.2201,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=belgium
62,Bulgaria,PwrIndx: 1.2522,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=bulgaria
63,Serbia,PwrIndx: 1.2938,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=serbia
64,Democratic Republic of the Congo,PwrIndx: 1.3051,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=democratic-republic-of-the-congo
65,Cuba,PwrIndx: 1.3345,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=cuba
66,Sudan,PwrIndx: 1.3563,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=sudan
67,Austria,PwrIndx: 1.3759,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=austria
68,Sri Lanka,PwrIndx: 1.3822,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=sri-lanka
69,Slovakia,PwrIndx: 1.3911,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=slovakia
70,Belarus,PwrIndx: 1.4072,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=belarus
71,Qatar,PwrIndx: 1.4096,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=qatar
72,Ecuador,PwrIndx: 1.4479,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=ecuador
73,Croatia,PwrIndx: 1.5432,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=croatia
74,Jordan,PwrIndx: 1.5581,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=jordan
75,Bahrain,PwrIndx: 1.6731,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=bahrain
76,Kuwait,PwrIndx: 1.7161,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=kuwait
77,Albania,PwrIndx: 1.7258,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=albania
78,Turkmenistan,PwrIndx: 1.7459,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=turkmenistan
79,Tunisia,PwrIndx: 1.7823,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=tunisia
80,Libya,PwrIndx: 1.7872,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=libya
81,Paraguay,PwrIndx: 1.7974,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=paraguay
82,Bolivia,PwrIndx: 1.8301,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=bolivia
83,Cambodia,PwrIndx: 1.8434,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=cambodia
84,Kenya,PwrIndx: 1.8588,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=kenya
85,Chad,PwrIndx: 1.8594,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=chad
86,Oman,PwrIndx: 1.8823,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=oman
87,Syria,PwrIndx: 1.8861,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=syria
88,Lithuania,PwrIndx: 1.8949,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=lithuania
89,Tanzania,PwrIndx: 1.9111,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=tanzania
90,New Zealand,PwrIndx: 1.9258,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=new-zealand
91,Slovenia,PwrIndx: 1.9404,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=slovenia
92,Mozambique,PwrIndx: 1.9769,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=mozambique
93,Mongolia,PwrIndx: 1.9987,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=mongolia
94,Ireland,PwrIndx: 2.0661,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=ireland
95,Georgia,PwrIndx: 2.0779,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=georgia
96,Guatemala,PwrIndx: 2.1277,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=guatemala
97,Uruguay,PwrIndx: 2.1537,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=uruguay
98,Yemen,PwrIndx: 2.1617,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=yemen
99,Cameroon,PwrIndx: 2.1689,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=cameroon
100,Tajikistan,PwrIndx: 2.1749,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=tajikistan
101,Armenia,PwrIndx: 2.2016,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=armenia
102,Latvia,PwrIndx: 2.2316,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=latvia
103,Honduras,PwrIndx: 2.2575,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=honduras
104,Mali,PwrIndx: 2.2598,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=mali
105,Zimbabwe,PwrIndx: 2.2801,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=zimbabwe
106,Estonia,PwrIndx: 2.3201,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=estonia
107,Uganda,PwrIndx: 2.3252,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=uganda
108,Ivory Coast,PwrIndx: 2.3884,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=ivory-coast
109,Kyrgyzstan,PwrIndx: 2.3969,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=kyrgyzstan
110,Luxembourg,PwrIndx: 2.4429,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=luxembourg
111,Zambia,PwrIndx: 2.4461,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=zambia
112,Ghana,PwrIndx: 2.4566,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=ghana
113,South Sudan,PwrIndx: 2.4645,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=south-sudan
114,North Macedonia,PwrIndx: 2.4956,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=north-macedonia
115,Dominican Republic,PwrIndx: 2.5853,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=dominican-republic
116,Nicaragua,PwrIndx: 2.5894,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=nicaragua
117,Republic of the Congo,PwrIndx: 2.6259,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=republic-of-the-congo
118,Lebanon,PwrIndx: 2.6521,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=lebanon
119,Eritrea,PwrIndx: 2.6841,https://www.globalfirepower.com/country-military-strength-detail.php?country_id=eritrea
