Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
United States,25676000000000,910037000000,831500000000,24538900710000,9833517,19924,12002,41009,341963408,0,5,3,4,2,0,9774,1343,695,688,1958,458,458,768,3500,1141,1409,11,9,83,0,27,66,0,4,20953000,20307000,1029000000000,914301000000,534234000,495156000,174174000,3533,666,16116,6586610,293564
Russia,6089000000000,597217000000,212638272000,226475750000,17098242,37653,22407,102000,140820810,0,8,9,9,4,2,2754,560,454,298,345,89,12,361,3941,2522,4144,1,0,13,12,79,66,70,45,10879000,3863000,617830000000,472239000000,531130000,290763000,72517000,2910,67,905,1283387,85494
China,33598000000000,3456000000000,303000000000,488114000000,9596960,14500,22457,27700,1415043270,0,3,4,1,0,0,2647,1082,278,215,301,79,7,211,4696,2352,1120,3,4,53,46,50,61,150,36,4984000,16189000,225341000000,366160000000,4805000000,5191000000,773880000,8314,66,552,5200000,150000
India,14244000000000,643043000000,109000000000,212728000000,3287263,7000,13888,14500,1409128296,0,1,7,1,1,2,1637,357,93,208,251,54,5,59,2935,75,4230,2,0,13,18,21,18,146,0,822000,5271000,33170000000,58867000000,1020000000,1262000000,607691000,1859,56,315,6371847,65554
South Korea,2607000000000,418219000000,44800000000,553871450000,99720,2413,237,1600,52081799,0,0,8,9,0,2,1078,169,69,28,235,25,3,79,1282,1946,4060,0,2,14,18,3,22,96,14,38000,2542000,55127000,59480000000,16081000,136817000,29713000,2149,15,92,100428,3979
France,3732000000000,282857000000,67232395000,7691315390000,643801,4853,4072,8501,68374591,0,8,1,4,1,2,779,178,0,94,112,35,12,54,342,59,0,1,3,11,5,0,9,22,19,80000,1536000,20132000,37001000000,2157000,12570000,31725000,553,66,1218,1053215,27860
Japan,5715000000000,1231000000000,58000000000,5147667910000,377915,29751,145,1770,123201945,0,8,9,2,0,0,1143,174,38,42,319,108,8,94,587,154,384,0,4,41,8,0,23,6,18,8000,3140000,2220000000,92843000000,27657000,197612000,69382000,5229,163,280,1218772,27311
United Kingdom,3636000000000,174598000000,88526529585,10553123900000,243610,12429,499,3200,68459055,0,8,1,2,0,0,406,67,25,20,131,19,6,33,187,9,82,2,0,6,7,0,10,26,8,753000,1406000,37758000000,70141000000,1568000,7372000,35359000,868,185,1057,416461,16390
Turkiye,3018000000000,154744000000,51400000000,149654000000,783562,7200,2816,1200,84119531,1,9,7,6,5,2,771,141,0,59,211,19,5,78,1599,732,445,0,1,0,17,9,14,40,11,83000,1107000,379701000,52887000000,82534000,124183000,36081000,1170,54,116,68526,11497
Italy,3133000000000,290547000000,37325165000,3025000000000,301340,7600,1836,2400,60964931,0,4,9,3,0,2,500,62,46,22,106,15,6,26,142,45,76,2,0,3,14,0,8,15,10,111000,1245000,3117000000,68735000000,1572000,12424000,25828000,1276,123,655,228863,18475
Brazil,4165000000000,329732000000,26400000000,198582000000,8515770,7491,16145,50000,220051512,0,3,6,2,6,1,322,29,20,70,81,16,0,0,191,97,268,0,1,0,8,2,6,22,4,4221000,3163000,22670000000,31654000000,15556000,32223000,106790000,888,45,5297,2000000,29850
