country,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,power_index,power_index_rank,gdp_usd,continent,region,alliance
China,764123366,626864169,19810606,2035000,510000,625000,3529,1443,371,287,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411,3,4,61,53,46,50,150,36,303000000000.0,488114000000.0,33598000000000.0,3456000000000.0,552,773880000,66,8314,150000,5200000,4984000,16189000,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4805000000,5191000000,157041000000.0,9596960,14500,22457,27700,0.0919,3,18000000000000.0,Asia,Eastern Asia,Non-NATO
India,662290299,522786598,23955181,1431000,1000000,2527000,2183,476,124,277,334,72,6,594,79,3913,163554,100,5640,300,343,631989,2,0,18,13,18,21,146,0,109000000000.0,212728000000.0,14244000000000.0,643043000000.0,315,607691000,56,1859,65554,6371847,822000,5271000,4605000000.0,33170000000.0,58867000000.0,1381000000000.0,1020000000,1262000000,127727000000.0,3287263,7000,13888,14500,0.1346,4,3390000000000.0,Asia,Southern Asia,Non-NATO
United States,150463900,124816644,4445524,1333030,799500,0,13032,1791,926,917,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799,11,9,66,83,0,27,0,4,831500000000.0,24538900000000.0,25676000000000.0,910037000000.0,16116,174174000,666,3533,293564,6586610,20953000,20307000,38212000000.0,1029000000000.0,914301000000.0,13402000000000.0,534234000,495156000,247883000000.0,9833517,19924,12002,41009,0.0741,1,25500000000000.0,Americas,Northern America,NATO
Indonesia,137965608,114595923,4786562,404500,401000,250000,460,41,34,73,114,15,1,212,15,331,28064,153,396,67,338,324754,0,0,4,0,10,26,211,10,11155297716.0,225273000000.0,4102000000000.0,155708000000.0,556,143144000,123,11422,8159,496607,865000,1645000,2480000000.0,57410000000.0,36061000000.0,1408000000000.0,783453000,281159000,35055000000.0,1904569,54716,2958,21579,0.2582,13,1320000000000.0,Asia,South-eastern Asia,Non-NATO
Nigeria,125475979,90437404,4261448,230000,0,50000,159,14,24,12,28,12,0,69,15,330,12219,40,339,37,152,38052,0,0,0,0,1,0,132,2,3900000000.0,45009000000.0,1318000000000.0,38612000000.0,50,113350000,28,928,3798,195000,1541000,527000,36890000000.0,39951000000.0,20719000000.0,5761000000000.0,1322000,1326000,2144000000.0,923768,853,4477,8600,0.6097,33,477000000000.0,Africa,Sub-Saharan Africa,Non-NATO
Brazil,112226271,88680759,3520824,376000,1340000,200000,495,44,30,107,124,25,0,186,0,294,22464,149,412,82,69,166419,0,1,6,0,8,2,22,4,26400000000.0,198582000000.0,4165000000000.0,329732000000.0,5297,106790000,45,888,29850,2000000,4221000,3163000,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15556000,32223000,6596000000.0,8515770,7491,16145,50000,0.2374,11,1920000000000.0,Americas,Latin America and the Caribbean,Non-NATO
Pakistan,108516336,85803614,4794908,660000,550000,500000,1397,331,90,63,563,27,4,379,55,2677,59044,662,2629,652,120,115187,0,0,8,0,9,6,79,3,9102115350.0,89148000000.0,1390000000000.0,18408000000.0,117,83644000,3,60,11881,264175,91000,645000,540000000.0,36937000000.0,46448000000.0,592219000000.0,13765000,30191000,2857000000.0,796095,1046,7257,0,0.2626,14,377000000000.0,Asia,Southern Asia,Non-NATO
Bangladesh,82661620,66129296,3205246,204000,0,6800000,212,41,0,17,83,4,0,67,0,320,11584,36,487,103,121,75280,0,0,2,0,7,6,61,5,3340000000.0,58020000000.0,1473000000000.0,21395000000.0,17,77355000,2,558,2460,369105,13000,263000,28000000.0,24620000000.0,30384000000.0,126293000000.0,767000,14050000,3260000000.0,148460,580,4413,8370,0.6517,37,460000000000.0,Asia,Southern Asia,Non-NATO
Russia,69002197,46189226,1267387,1320000,2000000,250000,4237,861,698,458,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539,1,0,66,13,12,79,70,45,212638000000.0,226476000000.0,6089000000000.0,597217000000.0,905,72517000,67,2910,85494,1283387,10879000,3863000,80000000000.0,617830000000.0,472239000000.0,47805000000000.0,531130000,290763000,162166000000.0,17098242,37653,22407,102000,0.0791,2,,Europe,Eastern Europe,Non-NATO
Mexico,61447766,49811912,2222579,387000,98653,120000,424,2,32,40,175,25,0,173,0,0,23548,35,0,0,164,121180,0,0,0,0,1,3,142,0,9100000000.0,306308000000.0,2883000000000.0,232035000000.0,1580,60959000,35,674,23389,704884,2101000,1741000,5786000000.0,31422000000.0,90566000000.0,180322000000.0,6296000,15132000,1160000000.0,1964375,9330,4389,2900,0.6401,36,1410000000000.0,Americas,Latin America and the Caribbean,Non-NATO
