country,power_index,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp,alliance
United States,0.0741,341963408,150463900,124816644,4445524,1333030,799500,0,13032,1791,926,917,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799,11,9,66,83,0,27,0,4,831500000000,24538900710000,25676000000000,910037000000,16116,174174000,666,3533,293564 km,6586610 km,20953000 bbl,20307000 bbl,38212000000 bbl,1029000000000 Cu.M,914301000000 Cu.M,13402000000000 Cu.M,534234000 Cu.M,495156000 mt,247883000000 Cu.M,9833517 km,19924 km,12002 km,41009 km,Americas,Northern America,25500000000000.0,NATO
Russia,0.0791,140820810,69002197,46189226,1267387,1320000,2000000,250000,4237,861,698,458,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539,1,0,66,13,12,79,70,45,212638272000,226475750000,6089000000000,597217000000,905,72517000,67,2910,85494 km,1283387 km,10879000 bbl,3863000 bbl,80000000000 bbl,617830000000 Cu.M,472239000000 Cu.M,47805000000000 Cu.M,531130000 Cu.M,290763000 mt,162166000000 Cu.M,17098242 km,37653 km,22407 km,102000 km,Europe,Eastern Europe,92021865893.5,NATO
China,0.0919,1415043270,764123366,626864169,19810606,2035000,510000,625000,3529,1443,371,287,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411,3,4,61,53,46,50,150,36,303000000000,488114000000,33598000000000,3456000000000,552,773880000,66,8314,150000 km,5200000 km,4984000 bbl,16189000 bbl,26023000000 bbl,225341000000 Cu.M,366160000000 Cu.M,6654000000000 Cu.M,4805000000 Cu.M,5191000000 mt,157041000000 Cu.M,9596960 km,14500 km,22457 km,27700 km,Asia,Eastern Asia,18000000000000.0,NATO
India,0.1346,1409128296,662290299,522786598,23955181,1431000,1000000,2527000,2183,476,124,277,334,72,6,594,79,3913,163554,100,5640,300,343,631989,2,0,18,13,18,21,146,0,109000000000,212728000000,14244000000000,643043000000,315,607691000,56,1859,65554 km,6371847 km,822000 bbl,5271000 bbl,4605000000 bbl,33170000000 Cu.M,58867000000 Cu.M,1381000000000 Cu.M,1020000000 Cu.M,1262000000 mt,127727000000 Cu.M,3287263 km,7000 km,13888 km,14500 km,Asia,Southern Asia,3390000000000.0,NATO
South Korea,0.1642,52081799,26040900,21353538,416654,450000,3100000,120000,1540,242,98,40,335,35,4,827,113,1831,117460,2780,5800,525,215,427946,0,2,22,14,18,3,96,14,44800000000,553871450000,2607000000000,418219000000,92,29713000,15,2149,3979 km,100428 km,38000 bbl,2542000 bbl,0 bbl,55127000 Cu.M,59480000000 Cu.M,7079000000 Cu.M,16081000 Cu.M,136817000 mt,326000000 Cu.M,99720 km,2413 km,237 km,1600 km,Asia,Eastern Asia,92021865893.5,NATO
France,0.1798,68374591,30084820,23794358,752121,264000,43444,150000,974,223,0,118,140,44,15,452,67,427,110784,74,0,9,166,487471,1,3,9,11,5,0,22,19,67232395000,7691315390000,3732000000000,282857000000,1218,31725000,66,553,27860 km,1053215 km,80000 bbl,1536000 bbl,61719000 bbl,20132000 Cu.M,37001000000 Cu.M,7787000000 Cu.M,2157000 Cu.M,12570000 mt,160000000 Cu.M,643801 km,4853 km,4072 km,8501 km,Europe,Western Europe,2780000000000.0,NATO
Japan,0.1876,123201945,52976836,42874277,1108818,251500,56000,25000,1429,217,47,53,399,135,10,583,118,734,54390,193,480,99,158,798062,0,4,23,41,8,0,6,18,58000000000,5147667910000,5715000000000,1231000000000,280,69382000,163,5229,27311 km,1218772 km,8000 bbl,3140000 bbl,44115000 bbl,2220000000 Cu.M,92843000000 Cu.M,20898000000 Cu.M,27657000 Cu.M,197612000 mt,350000000 Cu.M,377915 km,29751 km,0 km,1770 km,Asia,Eastern Asia,4230000000000.0,NATO
United Kingdom,0.1881,68459055,31491165,25192932,753050,141330,31940,0,625,103,38,30,201,29,9,262,50,288,94064,14,126,43,116,406308,2,0,10,6,7,0,26,8,88526529585,10553123900000,3636000000000,174598000000,1057,35359000,185,868,16390 km,416461 km,753000 bbl,1406000 bbl,2500000000 bbl,37758000000 Cu.M,70141000000 Cu.M,180661000000 Cu.M,1568000 Cu.M,7372000 mt,26000000 Cu.M,243610 km,12429 km,499 km,3200 km,Europe,Northern Europe,3070000000000.0,NATO
Turkiye,0.1975,84119531,42985080,36087279,1430032,481000,380000,150000,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739,0,1,14,0,17,9,40,11,51400000000,149654000000,3018000000000,154744000000,116,36081000,54,1170,11497 km,68526 km,83000 bbl,1107000 bbl,366000000 bbl,379701000 Cu.M,52887000000 Cu.M,3794000000 Cu.M,82534000 Cu.M,124183000 mt,10975000000 Cu.M,783562 km,7200 km,2816 km,1200 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Italy,0.2211,60964931,27434219,22191235,548684,165500,18300,105000,714,88,65,31,152,22,8,352,37,203,87364,64,108,21,285,387892,2,0,8,3,14,0,15,10,37325165000,3025000000000,3133000000000,290547000000,655,25828000,123,1276,18475 km,228863 km,111000 bbl,1245000 bbl,497934000 bbl,3117000000 Cu.M,68735000000 Cu.M,45750000000 Cu.M,1572000 Cu.M,12424000 mt,609999000 Cu.M,301340 km,7600 km,1836 km,2400 km,Europe,Southern Europe,2010000000000.0,NATO
Brazil,0.2374,220051512,112226271,88680759,3520824,376000,1340000,200000,495,44,30,107,124,25,0,186,0,294,22464,149,412,82,69,166419,0,1,6,0,8,2,22,4,26400000000,198582000000,4165000000000,329732000000,5297,106790000,45,888,29850 km,2000000 km,4221000 bbl,3163000 bbl,12715000000 bbl,22670000000 Cu.M,31654000000 Cu.M,363985000000 Cu.M,15556000 Cu.M,32223000 mt,6596000000 Cu.M,8515770 km,7491 km,16145 km,50000 km,Americas,Latin America and the Caribbean,1920000000000.0,NATO
Germany,0.2463,84119100,38694786,30955829,841191,184324,860000,0,569,127,63,55,16,27,3,292,49,296,87338,134,0,33,96,241492,0,0,6,0,11,6,54,12,127400090000,6862470230000,5247000000000,377936000000,840,43772000,35,595,39379 km,830000 km,131000 bbl,2062000 bbl,115200000 bbl,4824000000 Cu.M,77516000000 Cu.M,23390000000 Cu.M,109741000 Cu.M,140994000 mt,35400000000 Cu.M,357022 km,2389 km,3694 km,7300 km,Europe,Western Europe,4070000000000.0,NATO
Indonesia,0.2582,281562465,137965608,114595923,4786562,404500,401000,250000,460,41,34,73,114,15,1,212,15,331,28064,153,396,67,338,324754,0,0,4,0,10,26,211,10,11155297716,225273000000,4102000000000,155708000000,556,143144000,123,11422,8159 km,496607 km,865000 bbl,1645000 bbl,2480000000 bbl,57410000000 Cu.M,36061000000 Cu.M,1408000000000 Cu.M,783453000 Cu.M,281159000 mt,35055000000 Cu.M,1904569 km,54716 km,2958 km,21579 km,Asia,South-eastern Asia,1320000000000.0,NATO
Pakistan,0.2626,252363571,108516336,85803614,4794908,660000,550000,500000,1397,331,90,63,563,27,4,379,55,2677,59044,662,2629,652,120,115187,0,0,8,0,9,6,79,3,9102115350,89148000000,1390000000000,18408000000,117,83644000,3,60,11881 km,264175 km,91000 bbl,645000 bbl,540000000 bbl,36937000000 Cu.M,46448000000 Cu.M,592219000000 Cu.M,13765000 Cu.M,30191000 mt,2857000000 Cu.M,796095 km,1046 km,7257 km,0 km,Asia,Southern Asia,377000000000.0,NATO
Israel,0.2707,9402617,3949099,3281513,131637,169500,465000,35000,597,239,45,14,148,19,13,127,48,1300,62380,323,171,228,82,40638,0,0,6,0,0,7,66,0,34600000000,163350000000,472177000000,214544000000,40,4710000,5,41,1497 km,20391 km,15000 bbl,219000 bbl,12730000 bbl,22886000000 Cu.M,11510000000 Cu.M,176018000000 Cu.M,0 Cu.M,5297000 mt,0 Cu.M,21937 km,273 km,1068 km,0 km,Asia,Western Asia,522000000000.0,NATO
Iran,0.3199,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,86,103,10,6,129,13,2675,75939,424,1803,1550,109,283516,0,0,25,0,7,3,21,1,9230000000,6759000000,1486000000000,120600000000,177,28575000,18,965,8484 km,223485 km,4112000 bbl,2415000 bbl,208600000000 bbl,263280000000 Cu.M,244890000000 Cu.M,33987000000000 Cu.M,2209000 Cu.M,3032000 mt,1203000000 Cu.M,1648195 km,2440 km,5894 km,850 km,Asia,Southern Asia,92021865893.5,NATO
Australia,0.3208,26768598,11242811,9208398,294455,58910,33270,0,348,24,71,37,107,31,6,72,22,46,17118,0,48,8,45,199898,0,2,6,3,7,0,13,3,57350000000,3770254730000,1635000000000,60404000000,2257,14912000,66,604,32606 km,873573 km,386000 bbl,1151000 bbl,2446000000 bbl,153783000000 Cu.M,50188000000 Cu.M,3228000000000 Cu.M,445077000 Cu.M,95667000 mt,149472000000 Cu.M,7741220 km,25760 km,0 km,2000 km,Oceania,Australia and New Zealand,1680000000000.0,NATO
Spain,0.3247,47280433,21748999,17635602,330963,121802,24033,78470,440,136,12,51,108,8,0,169,17,298,49324,96,188,0,175,249889,1,0,2,0,11,0,112,6,39000676350,2830012130000,2361000000000,107774000000,365,24386000,52,503,15489 km,150110 km,47000 bbl,1325000 bbl,150000000 bbl,41009000 Cu.M,32833000000 Cu.M,2549000000 Cu.M,1280000 Cu.M,7388000 mt,1187000000 Cu.M,505370 km,4964 km,1953 km,1000 km,Europe,Southern Europe,1400000000000.0,NATO
