Country,Total Aircraft
United StatesUSA,"13,032"
RussiaRUS,"4,237"
ChinaCHN,"3,529"
IndiaIND,"2,183"
South KoreaSKO,"1,540"
JapanJPN,"1,429"
PakistanPAK,"1,397"
TurkiyeTKY,"1,101"
EgyptEGY,"1,088"
FranceFRA,974
Saudi ArabiaSAR,917
North KoreaNKO,837
TaiwanTWN,720
ItalyITA,714
United KingdomUKD,625
AlgeriaALG,620
IsraelISR,597
United Arab EmiratesUAE,581
GermanyGER,569
GreeceGRE,560
IranIRN,551
ThailandTHL,496
BrazilBRA,495
IndonesiaINO,460
PolandPOL,457
SpainSPN,440
ColombiaCOL,430
MexicoMEX,424
IraqIRQ,360
CanadaCAN,354
AustraliaAUS,348
UkraineUKR,347
MyanmarMYA,331
JordanJOR,279
AngolaANG,278
ChileCHI,274
MoroccoMOR,271
VietnamVET,265
QatarQTR,263
PeruPER,252
ArgentinaARG,241
SingaporeSNG,235
VenezuelaVEN,224
BangladeshBNG,212
PhilippinesPHL,204
BelarusBLR,194
SudanSDN,183
South AfricaSAF,181
SwedenSWE,172
KazakhstanKAZ,168
FinlandFIN,162
YemenYEM,160
AzerbaijanAZR,159
NigeriaNGA,159
UzbekistanUZB,159
TunisiaTUN,155
KenyaKEN,154
RomaniaROM,148
SwitzerlandSWZ,141
BahrainBAH,137
KuwaitKUW,133
MalaysiaMLY,132
NetherlandsNTH,130
OmanOMA,128
PortugalPOR,128
DenmarkDEN,122
SerbiaSRB,115
NorwayNOR,109
BelgiumBEL,104
EthiopiaETH,104
SyriaSYR,104
CzechiaCZC,103
EcuadorECU,99
TurkmenistanTKM,91
AustriaAST,90
Sri LankaSRL,90
LibyaLBY,83
Dominican RepublicDOM,80
HungaryHUN,80
LebanonLEB,80
ZimbabweZIM,80
ZambiaZAM,78
BulgariaBUL,71
ArmeniaARM,69
BoliviaBOL,67
CroatiaCRO,67
GeorgiaGEO,61
Democratic Republic of the CongoDRC,56
El SalvadorESL,51
UgandaUGA,51
ParaguayPAR,49
SlovakiaSLK,48
New ZealandNWZ,47
BotswanaBOT,45
HondurasHON,45
MaliMAL,44
UruguayURU,43
ChadCHD,40
SloveniaSLN,40
SenegalSEN,39
PanamaPAN,38
TanzaniaTNZ,38
NamibiaNAM,36
CameroonCAM,35
GuatemalaGUA,35
LaosLAO,29
Burkina FasoBKF,26
NigerNGR,26
GabonGAB,25
TajikistanTJK,25
CambodiaCMB,24
IrelandIRE,23
MauritaniaMAU,23
MozambiqueMOZ,23
Ivory CoastIVC,22
AlbaniaALB,20
CubaCUB,20
EritreaERI,20
North MacedoniaMAC,20
South SudanSSD,19
GhanaGHA,18
NepalNEP,17
NicaraguaNIC,17
Bosnia and HerzegovinaBOS,15
Republic of the CongoROC,14
MontenegroMTN,10
LithuaniaLIT,9
Central African RepublicCAR,8
MongoliaMGL,8
BeninBEN,7
KyrgyzstanKYR,7
MadagascarMAD,6
SomaliaSOM,6
AfghanistanAFG,5
BelizBLZ,3
LatviaLAT,3
MoldovaMOL,3
SurinameSRN,3
BhutanBUT,2
EstoniaEST,2
LuxembourgLUX,1
Sierra LeoneSLE,1
IcelandICE,0
KosovoKOS,0
LiberiaLIB,0
