Record_ID,Country,ISO_Code,Join_Year,Years_In_NATO,Founding_Member,Nuclear_Sharing,Region,Capital,Area_km2,Government_Type,Alliance_Role,Year,Population_M,GDP_Billion_USD,GDP_Per_Capita_USD,Inflation_Rate_Pct,Unemployment_Rate_Pct,Defense_Budget_Billion_USD,Defense_GDP_Percent,Meets_2_Percent_Target,Active_Military_Personnel,Reserve_Personnel,Total_Military_Personnel,NATO_Contribution_Rank,Interoperability_Score,Training_Exercises_Per_Year
1,Albania,ALB,2009,0,No,No,Southern Europe,Tirana,28748,Parliamentary Monarchy,Full Member,2009,2.79,18.66,6688.17,8.97,15.53,0.18,0.98,No,469606,73658,543264,28,61.2,7
2,Albania,ALB,2009,1,No,No,Southern Europe,Tirana,28748,Presidential Republic,Lead Nation,2010,2.79,18.02,6458.78,7.97,12.9,0.46,2.57,Yes,418492,375900,794392,18,91.6,2
3,Albania,ALB,2009,2,No,No,Southern Europe,Tirana,28748,Parliamentary Republic,Full Member,2011,2.82,19.91,7060.28,2.98,17.27,0.28,1.43,No,584238,82016,666254,25,63.8,24
4,Albania,ALB,2009,3,No,No,Southern Europe,Tirana,28748,Parliamentary Monarchy,Framework Nation,2012,2.86,19.96,6979.02,11.69,9.57,0.71,3.56,Yes,1126051,65944,1191995,24,82.5,6
5,Albania,ALB,2009,4,No,No,Southern Europe,Tirana,28748,Constitutional Monarchy,Lead Nation,2013,2.84,18.85,6637.32,3.18,4.02,0.31,1.65,No,168835,448932,617767,24,66.3,24
6,Albania,ALB,2009,5,No,No,Southern Europe,Tirana,28748,Presidential Republic,Host Nation,2014,2.9,19.75,6810.34,7.51,5.42,0.35,1.78,No,1360528,37935,1398463,30,74.8,42
7,Albania,ALB,2009,6,No,No,Southern Europe,Tirana,28748,Federal Republic,Framework Nation,2015,2.87,21.6,7526.13,9.95,18.1,0.35,1.62,No,118810,120587,239397,5,68.2,38
8,Albania,ALB,2009,7,No,No,Southern Europe,Tirana,28748,Constitutional Monarchy,Host Nation,2016,2.91,22.64,7780.07,11.02,11.18,0.44,1.94,No,831200,464328,1295528,16,89.1,36
9,Albania,ALB,2009,8,No,No,Southern Europe,Tirana,28748,Parliamentary Monarchy,Lead Nation,2017,2.94,21.23,7221.09,3.02,21.95,0.6,2.83,Yes,839103,190290,1029393,6,89.5,9
10,Albania,ALB,2009,9,No,No,Southern Europe,Tirana,28748,Federal Republic,Contributing Nation,2018,2.94,21.33,7255.1,4.92,13.92,0.31,1.43,No,1252260,33806,1286066,17,97.9,2
