country,active_personnel,total_aircraft,aircraft_carriers,airports,total_area,armored_vehicles,defense_budget,destroyers,fighters,fleet_strength,frigates,gdp,helicopters,population,ports,railways,reserve_personnel,roadways,rocket_projectors,submarines,tanks,power_index,total_military_manpower,fit_for_service,population_reaching_military_age_annually,paramilitary,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,attack_helicopters,self_propelled_artillery,towed_artillery,total_naval_fleet_tonnage_mt,helicopter_carriers,corvettes,coastal_patrol_craft,mine_warfare_craft,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,alliance
Afghanistan,75000.0,5.0,0.0,68.0,652230.0,3902.0,145000000.0,0.0,0.0,0.0,0.0,82238000000.0,3.0,40121552.0,0.0,0.0,0.0,34903.0,0.0,0.0,0.0,2.7342,15647405.0,8826741.0,842553.0,90000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929750000.0,8852092000.0,9133000.0,0.0,0.0,58000.0,0.0,80200000.0,80200000.0,49554000000.0,767000.0,503000.0,66000000.0,0.0,5987.0,1200.0,Asia,Southern Asia,Non-aligned
Albania,7500.0,20.0,0.0,3.0,28748.0,1492.0,720037190.0,0.0,0.0,33.0,0.0,51360000000.0,19.0,3107100.0,3.0,424.0,0.0,3581.0,270.0,0.0,0.0,1.7258,1522479.0,1292554.0,62142.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,33.0,0.0,5363000000.0,6516000000.0,1370000.0,69.0,14000.0,21000.0,150000000.0,50623000.0,50623000.0,5692000000.0,473000.0,255000.0,522000000.0,362.0,691.0,41.0,Europe,Southern Europe,NATO
Algeria,130000.0,620.0,0.0,95.0,2381740.0,24920.0,25000000000.0,0.0,111.0,111.0,8.0,722912000000.0,300.0,47022473.0,17.0,4020.0,150000.0,112696.0,188.0,6.0,1485.0,0.4849,22570787.0,19185169.0,752360.0,150000.0,42.0,63.0,90.0,10.0,4.0,74.0,224.0,483.0,83480.0,0.0,8.0,75.0,3.0,4764000000.0,83007000000.0,13294000.0,119.0,1443000.0,446000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,3000.0,233000000.0,998.0,6734.0,0.0,Africa,Northern Africa,Non-aligned
Angola,107000.0,278.0,0.0,107.0,1246700.0,2258.0,31200000000.0,0.0,67.0,32.0,0.0,278239000000.0,115.0,37202061.0,21.0,2761.0,0.0,76000.0,116.0,0.0,319.0,1.1045,7440412.0,3720206.0,372021.0,10000.0,6.0,32.0,56.0,2.0,0.0,14.0,25.0,575.0,0.0,0.0,0.0,32.0,0.0,45299000000.0,14243000000.0,15961000.0,64.0,1175000.0,121000.0,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0.0,0.0,0.0,1600.0,5369.0,1300.0,Africa,Sub-Saharan Africa,Non-aligned
Argentina,108000.0,241.0,0.0,764.0,2780400.0,22432.0,993919790.0,3.0,23.0,42.0,0.0,1213000000000.0,96.0,46994384.0,37.0,17866.0,12370.0,240000.0,27.0,2.0,362.0,0.5983,20677529.0,17575900.0,704916.0,20000.0,11.0,25.0,71.0,13.0,2.0,0.0,20.0,172.0,122128.0,0.0,6.0,13.0,0.0,74362000000.0,29560000000.0,22286000.0,201.0,807000.0,749000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,869000.0,2534000.0,799999000.0,4989.0,11968.0,11000.0,Americas,Latin America and the Caribbean,Non-aligned
Armenia,65000.0,69.0,0.0,11.0,29743.0,1412.0,1480000000.0,0.0,4.0,0.0,0.0,60909000000.0,36.0,2976765.0,0.0,686.0,210000.0,7700.0,100.0,0.0,109.0,2.2016,1666988.0,1366335.0,44651.0,5000.0,14.0,3.0,12.0,0.0,0.0,20.0,104.0,193.0,0.0,0.0,0.0,0.0,0.0,6002000000.0,3685000000.0,1510000.0,0.0,0.0,15000.0,0.0,0.0,2861000000.0,0.0,300.0,19000.0,317000000.0,0.0,1570.0,0.0,Asia,Western Asia,Non-aligned
Australia,58910.0,348.0,0.0,2257.0,7741220.0,17118.0,57350000000.0,3.0,24.0,45.0,7.0,1635000000000.0,72.0,26768598.0,66.0,32606.0,33270.0,873573.0,8.0,6.0,46.0,0.3208,11242811.0,9208398.0,294455.0,0.0,71.0,37.0,107.0,31.0,6.0,22.0,0.0,48.0,199898.0,2.0,0.0,13.0,3.0,3770254730000.0,60404000000.0,14912000.0,604.0,386000.0,1151000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,445077000.0,95667000.0,149472000000.0,25760.0,0.0,2000.0,Oceania,Australia and New Zealand,Non-aligned
Austria,25000.0,90.0,0.0,62.0,83871.0,5160.0,6103900800.0,0.0,15.0,0.0,0.0,581131000000.0,41.0,8967982.0,0.0,6123.0,125600.0,126233.0,0.0,0.0,56.0,1.3759,4035592.0,3632033.0,98648.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,693000000000.0,35406000000.0,4768000.0,1.0,18000.0,244000.0,35200000.0,618209000.0,8136000000.0,5040000000.0,1288000.0,5403000.0,0.0,0.0,2524.0,358.0,Europe,Western Europe,Non-aligned
Azerbaijan,128000.0,159.0,0.0,32.0,86600.0,14448.0,5100000000.0,0.0,12.0,32.0,0.0,225198000000.0,87.0,10650239.0,0.0,2944.0,306000.0,24981.0,696.0,4.0,1354.0,1.1991,5218617.0,3908638.0,159754.0,15000.0,20.0,4.0,36.0,0.0,0.0,16.0,135.0,651.0,0.0,0.0,0.0,17.0,4.0,12378000000.0,12699000000.0,5020000.0,312.0,618000.0,109000.0,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0.0,6000.0,0.0,713.0,2468.0,0.0,Asia,Western Asia,Non-aligned
Bahrain,18400.0,137.0,0.0,3.0,760.0,5196.0,997015509.0,0.0,28.0,64.0,2.0,93937000000.0,66.0,1566888.0,4.0,0.0,110000.0,4122.0,18.0,0.0,150.0,1.6731,846120.0,720768.0,17236.0,1500.0,0.0,3.0,40.0,0.0,0.0,34.0,38.0,26.0,0.0,0.0,2.0,50.0,0.0,54450000000.0,4949000000.0,913300.0,184.0,190000.0,72000.0,186500000.0,18005000000.0,17924000000.0,81382000000.0,0.0,0.0,0.0,161.0,0.0,0.0,Asia,Western Asia,Non-aligned
