Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
China,1415043270,764123366,626864169,19810606,2035000,510000,625000,3529,1443,371,287,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411.0,3,4,61,53,46,50,150,36,0.0,0.0,0.0,0.0,552,773880000,66,8314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,1409128296,662290299,522786598,23955181,1431000,1000000,2527000,2183,476,124,277,334,72,6,594,79,3913,163554,100,5640,300,343,631989.0,2,0,18,13,18,21,146,0,0.0,0.0,0.0,0.0,315,607691000,56,1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,341963408,150463900,124816644,4445524,1333030,799500,0,13032,1791,926,917,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799.0,11,9,66,83,0,27,0,4,0.0,0.0,0.0,0.0,16116,174174000,666,3533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,281562465,137965608,114595923,4786562,404500,401000,250000,460,41,34,73,114,15,1,212,15,331,28064,153,396,67,338,324754.0,0,0,4,0,10,26,211,10,0.0,0.0,0.0,0.0,556,143144000,123,11422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,252363571,108516336,85803614,4794908,660000,550000,500000,1397,331,90,63,563,27,4,379,55,2677,59044,662,2629,652,120,115187.0,0,0,8,0,9,6,79,3,0.0,0.0,0.0,0.0,117,83644000,3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,236747130,125475979,90437404,4261448,230000,0,50000,159,14,24,12,28,12,0,69,15,330,12219,40,339,37,152,38052.0,0,0,0,0,1,0,132,2,0.0,0.0,0.0,0.0,50,113350000,28,928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,220051512,112226271,88680759,3520824,376000,1340000,200000,495,44,30,107,124,25,0,186,0,294,22464,149,412,82,69,166419.0,0,1,6,0,8,2,22,4,0.0,0.0,0.0,0.0,5297,106790000,45,888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,168697184,82661620,66129296,3205246,204000,0,6800000,212,41,0,17,83,4,0,67,0,320,11584,36,487,103,121,75280.0,0,0,2,0,7,6,61,5,0.0,0.0,0.0,0.0,17,77355000,2,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,140820810,69002197,46189226,1267387,1320000,2000000,250000,4237,861,698,458,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539.0,1,0,66,13,12,79,70,45,0.0,0.0,0.0,0.0,905,72517000,67,2910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,130739927,61447766,49811912,2222579,387000,98653,120000,424,2,32,40,175,25,0,173,0,0,23548,35,0,0,164,0.0,0,0,0,0,1,3,142,0,0.0,0.0,0.0,0.0,1580,60959000,35,674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,123201945,52976836,42874277,1108818,251500,56000,25000,1429,217,47,53,399,135,10,583,118,734,54390,193,480,99,158,798062.0,0,4,23,41,8,0,6,18,0.0,0.0,0.0,0.0,280,69382000,163,5229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,118550298,56904143,35327989,2726657,503000,138000,0,104,25,0,9,34,0,0,33,7,338,8586,142,469,79,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,54470000,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,118277063,50859137,41751803,2128987,160000,1500000,35000,204,0,17,23,23,11,0,130,6,18,20551,12,296,0,127,84578.0,0,0,0,0,4,1,60,0,0.0,0.0,0.0,0.0,256,50979000,70,2203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,115403027,39237029,31389623,2538867,166580,30800,10000,56,0,6,10,2,0,0,38,9,212,7164,16,125,81,16,0.0,0,0,0,0,0,0,16,0,0.0,0.0,0.0,0.0,273,38546000,3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,111247248,45611372,38269053,1668709,438500,479000,300000,1088,242,90,53,344,11,0,348,100,3620,54694,1056,962,648,149,235989.0,0,2,8,0,13,7,61,17,0.0,0.0,0.0,0.0,73,33749000,31,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,105758975,54994667,45053323,1797903,450000,5000000,250000,265,61,0,6,91,3,0,101,0,1999,69914,30,3250,774,116,102147.0,0,0,6,0,9,17,27,8,0.0,0.0,0.0,0.0,36,57133000,16,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,86,103,10,6,129,13,2675,75939,424,1803,1550,109,283516.0,0,0,25,0,7,3,21,1,0.0,0.0,0.0,0.0,177,28575000,18,965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkiye,84119531,42985080,36087279,1430032,481000,380000,150000,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739.0,0,1,14,0,17,9,40,11,0.0,0.0,0.0,0.0,116,36081000,54,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,84119100,38694786,30955829,841191,184324,860000,0,569,127,63,55,16,27,3,292,49,296,87338,134,0,33,96,241492.0,0,0,6,0,11,6,54,12,0.0,0.0,0.0,0.0,840,43772000,35,595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
