Country,Active_Personnel,Total_Aircraft,Aircraft_Carriers,Airports,Total_Area,Armored_Vehicles,Defense_Budget,Destroyers,Fighters,Fleet_Strength,Frigates,GDP,Helicopters,Population,Ports,Railways,Reserve_Personnel,Roadways,Rocket_Projectors,Submarines,Tanks
Afghanistan,75000,5,0,68,652230,3902,145000000,0,0,0,0,82238000000,3,40121552,0,0,0,34903,0,0,0
Albania,7500,20,0,3,28748,1492,720037190,0,0,33,0,51360000000,19,3107100,3,424,0,3581,270,0,0
Algeria,130000,620,0,95,2381740,24920,25000000000,0,111,111,8,722912000000,300,47022473,17,4020,150000,112696,188,6,1485
Angola,107000,278,0,107,1246700,2258,31200000000,0,67,32,0,278239000000,115,37202061,21,2761,0,76000,116,0,319
Argentina,108000,241,0,764,2780400,22432,993919790,3,23,42,0,1213000000000,96,46994384,37,17866,12370,240000,27,2,362
Armenia,65000,69,0,11,29743,1412,1480000000,0,4,0,0,60909000000,36,2976765,0,686,210000,7700,100,0,109
Australia,58910,348,0,2257,7741220,17118,57350000000,3,24,45,7,1635000000000,72,26768598,66,32606,33270,873573,8,6,46
Austria,25000,90,0,62,83871,5160,6103900800,0,15,0,0,581131000000,41,8967982,0,6123,125600,126233,0,0,56
Azerbaijan,128000,159,0,32,86600,14448,5100000000,0,12,32,0,225198000000,87,10650239,0,2944,306000,24981,696,4,1354
Bahrain,18400,137,0,3,760,5196,997015509,0,28,64,2,93937000000,66,1566888,4,0,110000,4122,18,0,150
Bangladesh,204000,212,0,17,148460,11584,3340000000,0,41,121,7,1473000000000,67,168697184,2,2460,0,369105,103,2,320
Belarus,63000,194,0,46,207600,6820,1034784000,0,43,0,0,265220000000,70,9501451,0,5528,365400,86600,206,0,577
Belgium,26390,104,0,48,30528,3588,14900000000,0,44,9,2,749229000000,14,11977634,7,3602,6600,118414,0,0,0
Beliz,2000,3,0,27,22966,164,34400000,0,0,15,0,5538000000,1,415789,2,0,850,3281,0,0,0
Benin,4750,7,0,10,112622,92,137690000,0,0,2,0,56424000000,5,14697052,1,438,0,16000,0,0,0
Bhutan,16000,2,0,4,38394,78,26600000,0,0,0,0,11517000000,2,884546,0,0,50000,12205,0,0,0
Bolivia,40000,67,0,201,1098581,764,467670000,0,0,67,0,122200000000,29,12311974,0,3690,40000,90568,0,0,54
Bosnia and Herzegovina,18000,15,0,20,51197,892,289920000,0,0,0,0,64641000000,15,3798671,1,965,8000,8619,24,0,45
Botswana,12000,45,0,122,581730,1224,581000000,0,10,0,0,45553000000,16,2450668,0,888,0,31747,20,0,45
Brazil,376000,495,0,5297,8515770,22464,26400000000,0,44,69,8,4165000000000,186,220051512,45,29850,1340000,2000000,82,6,294
Bulgaria,36950,71,0,107,110880,6724,2485350000,0,11,45,6,219645000000,23,6782659,2,4029,3000,19512,24,0,334
Burkina Faso,7500,26,0,49,274200,876,4590000000,0,0,0,0,60001000000,19,23042199,0,622,0,15304,9,0,0
Cambodia,124300,24,0,12,181035,5439,750000000,0,0,20,0,123676000000,20,17063669,2,642,0,61810,521,0,520
Cameroon,38000,35,0,37,475440,860,835694942,0,0,19,0,143264000000,21,30966105,7,987,0,77589,20,0,0
Canada,63500,354,0,1425,9984670,21780,45824959620,0,66,67,12,2341000000000,146,38794813,284,49422,23000,1042300,0,4,74
Central African Republic,30000,8,0,43,622984,270,300000000,0,0,0,0,5926000000,0,5650957,0,0,0,24000,0,0,0
Chad,37750,40,0,44,1284000,4345,706800000,0,0,0,0,52895000000,16,19093595,0,0,0,40000,16,0,90
Chile,80000,274,0,379,756102,7480,6800000000,0,45,130,8,596556000000,86,18664652,39,7282,40000,77801,9,4,386
China,2035000,3529,3,552,9596960,152040,303000000000,53,1443,841,46,33598000000000,1007,1415043270,66,150000,510000,5200000,2770,61,5870
Colombia,429000,430,0,661,1138910,12780,15800000000,0,16,213,9,978024000000,255,49588357,14,2141,998000,206102,0,4,0
Croatia,14325,67,0,45,56594,4874,2744000000,0,12,30,0,164825000000,37,4150116,16,2617,20100,26958,42,0,55
Cuba,50000,20,0,120,110860,7792,3301500000,0,11,19,1,81165000000,13,10966038,34,8367,40000,60000,200,0,194
Czechia,30334,103,0,252,78867,6275,9174000000,0,12,0,0,521928000000,42,10837890,0,9548,4900,129418,16,0,20
Democratic Republic of the Congo,166580,56,0,273,2344858,7164,960000000,0,0,16,0,164367000000,38,115403027,3,4007,30800,152373,81,0,212
